"data";"uso";"ano";"mes"
"2014-03-12";9358;2014;3
"2014-03-13";8724;2014;3
"2014-03-14";7613;2014;3
"2014-03-15";5499;2014;3
"2014-03-16";5140;2014;3
"2014-03-17";9193;2014;3
"2014-03-18";9107;2014;3
"2014-03-19";8879;2014;3
"2014-03-20";7552;2014;3
"2014-03-21";7856;2014;3
"2014-03-22";4778;2014;3
"2014-03-23";6055;2014;3
"2014-03-24";8602;2014;3
"2014-03-25";8607;2014;3
"2014-03-26";8940;2014;3
"2014-03-27";16864;2014;3
"2014-03-28";7575;2014;3
"2014-03-29";6159;2014;3
"2014-03-30";5301;2014;3
"2014-03-31";9138;2014;3
"2014-04-01";8801;2014;4
"2014-04-02";8397;2014;4
"2014-04-03";8535;2014;4
"2014-04-04";7853;2014;4
"2014-04-05";6161;2014;4
"2014-04-06";5001;2014;4
"2014-04-07";9568;2014;4
"2014-04-08";9391;2014;4
"2014-04-09";7857;2014;4
"2014-04-10";8094;2014;4
"2014-04-11";8029;2014;4
"2014-04-12";5914;2014;4
"2014-04-13";5178;2014;4
"2014-04-14";9706;2014;4
"2014-04-15";8467;2014;4
"2014-04-16";8415;2014;4
"2014-04-17";7294;2014;4
"2014-04-18";3475;2014;4
"2014-04-19";3388;2014;4
"2014-04-20";2928;2014;4
"2014-04-21";5806;2014;4
"2014-04-22";9483;2014;4
"2014-04-23";8359;2014;4
"2014-04-24";8205;2014;4
"2014-04-25";8062;2014;4
"2014-04-26";5149;2014;4
"2014-04-27";2732;2014;4
"2014-04-28";7374;2014;4
"2014-04-29";6189;2014;4
"2014-04-30";6159;2014;4
"2014-05-01";3339;2014;5
"2014-05-02";4124;2014;5
"2014-05-03";2454;2014;5
"2014-05-04";2839;2014;5
"2014-05-05";6572;2014;5
"2014-05-06";6141;2014;5
"2014-05-07";6728;2014;5
"2014-05-08";6947;2014;5
"2014-05-09";5087;2014;5
"2014-05-10";3107;2014;5
"2014-05-11";2392;2014;5
"2014-05-12";7022;2014;5
"2014-05-13";7671;2014;5
"2014-05-14";6859;2014;5
"2014-05-15";6029;2014;5
"2014-05-16";4550;2014;5
"2014-05-17";3857;2014;5
"2014-05-18";3027;2014;5
"2014-05-19";6256;2014;5
"2014-05-20";6932;2014;5
"2014-05-21";5803;2014;5
"2014-05-22";5878;2014;5
"2014-05-23";5168;2014;5
"2014-05-24";2425;2014;5
"2014-05-25";2781;2014;5
"2014-05-26";6177;2014;5
"2014-05-27";5664;2014;5
